Facility name,State of operation,Responsible emitter,Responsible emitter ABN/ACN, Baseline number ,Type of baseline,Reported covered Emissions,ACCUs issued,ACCUs deemed surrender,ACCUs surrendered, Net emissions number ,MYMP net emissions number,MYMP baseline number,Excess emissions situation start date (if applicable),Excess emissions situation end date (if applicable),Notes
Dandenong,VIC,OCEANIA GLASS PTY LTD,99 630 152 206," 123,348 ",Production-adjusted baseline," 111,060 ",0,0,0," 111,060 ",n/a,n/a,-,-,-
Darwin LNG Plant,NT,SANTOS LIMITED,80 007 550 923, n/a ,Multi-year monitoring period," 623,667 ",0,0,0,n/a," 3,455,534 "," 4,656,852 ",-,-,-
Daunia Mine,QLD,BM ALLIANCE COAL OPERATIONS PTY LIMITED,67 096 412 752," 310,899 ",Production-adjusted baseline," 208,116 ",0,0,0," 208,116 ",n/a,n/a,-,-,-
Dawson Mine,QLD,ANGLO COAL (DAWSON MANAGEMENT) PTY LTD,15 006 746 701," 743,995 ",Calculated baseline," 466,404 ",0,0,0," 466,404 ",n/a,n/a,-,-,-
DBNGP,WA,DBNGP (WA) TRANSMISSION PTY LIMITED,69 081 609 190, n/a ,Multi-year monitoring period," 267,178 ",0,0,0,n/a,n/a,n/a,-,-,-
DEN01,NSW,DENDROBIUM COAL PTY LTD,85 098 744 088," 386,274 ",Calculated baseline," 417,502 ",0,0,"31,228"," 386,274 ",n/a,n/a,-,-,-
Drake Mine,QLD,DRAKE MINE MANAGEMENT PTY LTD,30 612 261 453, n/a ,Multi-year monitoring period," 188,937 ",0,0,0,n/a,n/a,n/a,-,-,-
Duketon South Operations,WA,REGIS RESOURCES LIMITED,28 009 174 761," 186,157 ",Calculated baseline," 156,259 ",0,0,0," 156,259 ",n/a,n/a,-,-,-
Eliwana Mine,WA,FMG SOLOMON PTY LTD,95 128 959 179," 199,022 ",Calculated baseline," 173,475 ",0,0,0," 173,475 ",n/a,n/a,-,-,-
Ensham Resources Minesite,QLD,ENSHAM RESOURCES PTY. LIMITED,23 011 048 678, n/a ,Multi-year monitoring period," 242,922 ",0,0,0,n/a," 1,101,366 "," 1,177,524 ",-,-,-
Fairview,QLD,SANTOS LIMITED,80 007 550 923," 549,476 ",Production-adjusted baseline," 323,103 ",0,0,0," 323,103 ",n/a,n/a,-,-,-
Fimiston Operations,WA,KALGOORLIE CONSOLIDATED GOLD MINES PTY LTD,97 009 377 619," 242,659 ",Calculated baseline," 228,777 ",0,0,0," 228,777 ",n/a,n/a,-,-,-
Fisherman's Landing,QLD,CEMENT AUSTRALIA (QUEENSLAND) PTY LIMITED,70 009 658 520," 1,795,018 ",Calculated baseline," 1,526,628 ",0,0,0," 1,526,628 ",n/a,n/a,-,-,-
FLNG,WA,SHELL AUSTRALIA PTY LTD,14 009 663 576," 2,263,910 ",Calculated baseline," 2,188,611 ",0,0,0," 2,188,611 ",n/a,n/a,-,-,-
Foxleigh Mine,QLD,FOXLEIGH MANAGEMENT PTY LTD,27 089 726 492," 281,190 ",Calculated baseline," 225,985 ",0,0,0," 225,985 ",n/a,n/a,-,-,-
Geelong Refinery,VIC,VIVA ENERGY REFINING PTY LTD,46 004 303 842," 1,105,699 ",Production-adjusted baseline," 973,862 ",0,0,0," 973,862 ",n/a,n/a,-,-,-
