Facility name,Responsible emitter,State/Territory of operation,ANZSIC,ERC,Baseline emissions number,Covered emissions,Borrowing adjustment amount,ACCUs issued,ACCUs deemed surrendered,ACCUs surrendered,SMCs surrendered,Net emissions number,Net position number,SMCs issued,Units relinquished,Cumulative MYMP net emissions number,Cumulative MYMP net position number,GHG Carbon dioxide,GHG Methane,GHG Nitrous oxide,GHG Other,Notes
Multinet Principal Distribution Network and South Gippsland Pipeline,MULTINET GAS (DB NO. 2) PTY LTD,VIC,Gas supply (270),0.902,"142,863","162,902",0,0,0,"20,039",0,"142,863",0,0,0,-,-,"4,021","158,881",0,0,-
Murrin Murrin Operations,MURRIN MURRIN OPERATIONS PTY LTD,WA,Metal ore mining (080),0.941,"465,620","508,542",0,0,0,0,"42,922","465,620",0,0,0,-,-,"507,508",639,395,0,-
Myuna Colliery,CENTENNIAL MYUNA PTY LIMITED,NSW,Coal mining (060),0.902,"266,812","176,131",0,0,0,0,0,"176,131","-90,681","90,681",0,-,-,"8,067","168,056",4,4,-
Narrabri Underground Mine,Narrabri Coal Operations Pty Ltd,NSW,Coal mining (060),0.902,"322,834","511,474",0,0,0,"150,355","38,285","322,834",0,0,0,-,-,"167,592","343,843",23,16,"As the facility surrendered 30% or more of its baseline in ACCUs, the required written explanation as to why more carbon abatement did not occur at the facility can be found on the baselines and emissions data page."
Newlands Coal Complex including Newlands Northern UG,NC COAL COMPANY PTY LIMITED,QLD,Coal mining (060),0.902,"100,000","101,144",0,0,0,"1,144",0,"100,000",0,0,0,-,-,"60,138","40,831",171,4,-
Newman Operations,BHP IRON ORE PTY LTD,WA,Metal ore mining (080),0.902,"282,096","347,444",0,0,0,"65,348",0,"282,096",0,0,0,-,-,"345,717",494,"1,069",164,-
Newman Power Station,APA TRANSMISSION (ROY HILL) PTY LTD,WA,Electricity generation (261),0.902,"496,339","381,037",0,"63,088",0,0,0,"444,125","-52,214","52,214",0,-,-,"380,056",754,227,0,-
Newmont Boddington Gold Operation,Newmont Boddington Pty Ltd,WA,Metal ore mining (080),0.902,"194,483","218,347",0,0,0,"11,986","11,878","194,483",0,0,0,-,-,"217,272",311,627,137,-
Newmont Tanami Operation,Newmont Tanami Pty Ltd,NT,Metal ore mining (080),0.902,"186,772","206,504",0,0,0,"7,854","11,878","186,772",0,0,0,-,-,"205,838",373,251,42,-
Ningaloo Vision FPSO,Santos Limited,WA,Oil and gas extraction (070),0.902,"180,651","159,413",0,0,0,0,0,"159,413","-21,238","21,238",0,-,-,"152,818","6,340",255,0,-
NKS01 Nickel West Kalgoorlie Facility,BHP NICKEL WEST PTY LTD,WA,Basic non-ferrous metal manufacturing (213),0.902,"100,000","32,038",0,0,0,0,0,"32,038","-67,962",0,0,-,-,"32,014",17,7,0,The facility is an eligible facility under 58B.
NKW01 Nickel West Kwinana Facility,BHP NICKEL WEST PTY LTD,WA,Basic non-ferrous metal manufacturing (213),0.902,"100,000","59,573",0,0,0,0,0,"59,573","-40,427",0,0,-,-,"59,415",113,45,0,The facility is an eligible facility under 58B.
NMK01 Nickel West Mt Keith Facility,BHP NICKEL WEST PTY LTD,WA,Metal ore mining (080),0.902,"100,000","32,437",0,0,0,0,0,"32,437","-67,563",0,0,-,-,"32,293",46,98,0,The facility is an eligible facility under 58B.
