Facility name,State of operation,Responsible emitter,Responsible emitter ABN/ACN,Baseline number,Type of baseline,Reported covered Emissions,ACCUs issued,ACCUs deemed surrender,ACCUs surrendered,Net emissions number,MYMP net emissions number, MYMP baseline number ,Excess emissions situation start date (if applicable),Excess emissions situation end date (if applicable),Notes,
Pacific National Transport Facility,National,PACIFIC NATIONAL PTY LTD,39098060550,n/a,Multi-year monitoring period,"871,855","2,324",0,0,n/a,n/a,n/a, - , - ,"Please refer to the Multi-year monitoring period reported emissions data table for more information.
The facility's net emissions number for 2021-22 was adjusted to include ACCUs issued in relation to an Emissions Reduction Fund project at the facility.",
Paraburdoo Mine,WA,Hamersley Iron Pty. Limited,49004558276,"120,836",Calculated baseline,"116,170",0,0,0,"116,170",n/a,n/a, - , - ,-,
Parkhurst Magnesia Manufacturing Plant,QLD,QMAG PTY LIMITED,68111279906,"238,915",Production-adjusted baseline,"235,791",0,0,0,"235,791",n/a,n/a, - , - ,-,
Peak Downs Mine,QLD,BM Alliance Coal Operations Pty Limited,67096412752,"586,447",Calculated baseline,"448,708",0,0,0,"448,708",n/a,n/a, - , - ,-,
Phosphate Hill,QLD,Incitec Pivot Limited,42004080264,"591,456",Calculated baseline,"464,031",0,0,0,"464,031",n/a,n/a, - , - ,-,
Pilbara Rail Operations,WA,PILBARA IRON PTY LTD,75107216535,"661,171",Production-adjusted baseline,"650,881",0,0,0,"650,881",n/a,n/a, - , - ,-,
Pinjarra Alumina Refinery,WA,Alcoa of Australia Limited,93004879298,"2,881,289",Production-adjusted baseline,"1,508,614",0,0,0,"1,508,614",n/a,n/a, - , - ,-,
Pluto LNG,WA,Woodside Burrup Pty. Ltd.,20120237416,n/a,Multi-year monitoring period,"1,943,418",0,0,0,n/a,n/a,n/a, - , - ,Please refer to the Multi-year monitoring period reported emissions data table for more information.,
Poitrel Mine,QLD,STANMORE SMC PTY LTD,34009713875,n/a,Multi-year monitoring period,"185,364",0,0,"5,594",n/a,"575,850","575,850", - , - ,Please refer to the Multi-year monitoring period reported emissions data table for more information.,
Port Kembla Steelworks,NSW,BLUESCOPE STEEL (AIS) PTY. LTD.,19000019625,"6,920,344",Production-adjusted baseline,"6,198,685",0,0,0,"6,198,685",n/a,n/a, - , - ,-,
Port Latta Pelletising Plant,TAS,GRANGE RESOURCES (TASMANIA) PTY LTD,30073634581,n/a,Multi-year monitoring period,"125,019",0,0,0,n/a,"368,068","377,127", - , - ,Please refer to the Multi-year monitoring period reported emissions data table for more information.,
Portland Aluminium Smelter,VIC,Alcoa Portland Aluminium Proprietary Limited,80006306752,"526,325",Production-adjusted baseline,"561,106",0,0,"34,781","526,325",n/a,n/a, - , - ,-,
PRL03 Rail - IOR Facility,WA,BHP IRON ORE PTY LTD,46008700981,"576,420",Production-adjusted baseline,"560,092",0,0,0,"560,092",n/a,n/a, - , - ,-,
Qantas Airways Limited National Transport Facility,National,Qantas Airways Limited,16009661901,"5,285,611",Calculated baseline,"3,057,585",0,0,0,"3,057,585",n/a,n/a, - , - ,-,
Qenos Altona Manufacturing,VIC,QENOS PTY LTD,62054196771,"339,177",Production-adjusted baseline,"273,777",0,0,0,"273,777",n/a,n/a, - , - ,-,
Qenos Botany Manufacturing,NSW,QENOS PTY LTD,62054196771,"551,253",Calculated baseline,"516,301",0,0,0,"516,301",n/a,n/a, - , - ,-,
QGC Upstream ,QLD,QGC PTY LIMITED,11089642553,"1,186,518",Production-adjusted baseline,"842,456",0,0,0,"842,456",n/a,n/a, - , - ,-,
Queensland,QLD,Alliance Aviation Services Limited,96153361525,n/a,Multi-year monitoring period,"81,118",0,0,0,n/a,n/a,n/a, - , - ,Please refer to the Multi-year monitoring period reported emissions data table for more information.,
Queensland Alumina Limited Refinery,QLD,QUEENSLAND ALUMINA LIMITED,98009725044,"3,434,256",Calculated baseline,"3,129,823",0,0,0,"3,129,823",n/a,n/a, - , - ,-,
Queensland Curtis LNG Plant,QLD,QCLNG Operating Company Pty Ltd,19138872385,"1,896,711",Production-adjusted baseline,"1,846,755",0,0,0,"1,846,755",n/a,n/a, - , - ,-,
Queensland Nitrates Ammonium Nitrate Plant,QLD,Queensland Nitrates Pty Ltd,63079889268,"271,190",Calculated baseline,"170,118",0,0,0,"170,118",n/a,n/a, - , - ,-,
Rail,WA,THE PILBARA INFRASTRUCTURE PTY LTD,52103096340,"310,731",Production-adjusted baseline,"245,338",0,0,0,"245,338",n/a,n/a, - , - ,-,
Railton,TAS,CEMENT AUSTRALIA (GOLIATH) PTY LIMITED,33009476546,"1,118,359",Calculated baseline,"988,167",0,0,0,"988,167",n/a,n/a, - , - ,-,
Ravensthorpe Nickel Operation,WA,FQM Australia Nickel Pty Ltd,92135761465,"324,093",Calculated baseline,"204,177",0,0,0,"204,177",n/a,n/a, - , - ,-,
Ravensworth Operations,NSW,RAVENSWORTH OPERATIONS PTY LIMITED,12098937761,"345,281",Calculated baseline,"268,698",0,0,0,"268,698",n/a,n/a, - , - ,-,
Ravensworth Underground Coal Mine,NSW,Resource Pacific Pty Limited,65106177708,"173,779",Calculated baseline,"126,640",0,0,0,"126,640",n/a,n/a, - , - ,-,
Refinery Qld Lytton,QLD,Ampol Limited,40004201307,"856,595",Production-adjusted baseline,"717,291",0,0,0,"717,291",n/a,n/a, - , - ,-,
Rio Tinto Marine - Qld,QLD,Rio Tinto Shipping (Asia) Pte Limited ,71242047864,"144,297",Calculated baseline,"122,674",0,0,0,"122,674",n/a,n/a, - , - ,-,
Rio Tinto Weipa,QLD,RTA WEIPA PTY LTD,54137266285,"271,438",Production-adjusted baseline,"259,515",0,0,0,"259,515",n/a,n/a, - , - ,-,
Rio Tinto Yarwun,QLD,RTA Yarwun Pty Ltd,73137266301,"2,141,939",Production-adjusted baseline,"2,128,344",0,0,0,"2,128,344",n/a,n/a, - , - ,-,
Rolleston Coal Mine,QLD,ROLLESTON COAL HOLDINGS PTY LIMITED,69098156702,"163,725",Calculated baseline,"160,537",0,0,0,"160,537",n/a,n/a, - , - ,-,
Roma Hub,QLD,Santos Limited,80007550923,"249,836",Production-adjusted baseline,"171,423",0,0,0,"171,423",n/a,n/a, - , - ,-,
Roy Hill Mine,WA,Roy Hill Holdings Pty Ltd,71123721077,"535,965",Calculated baseline,"486,884",0,0,0,"486,884",n/a,n/a, - , - ,-,
Russell Vale Colliery,NSW,WOLLONGONG RESOURCES PTY. LTD.,28111244896,"1,115,025",Calculated baseline,"143,325",0,0,0,"143,325",n/a,n/a, - , - ,-,
Saraji Mine,QLD,BM Alliance Coal Operations Pty Limited,67096412752,n/a,Multi-year monitoring period,"355,882",0,0,0,n/a,n/a,n/a, - , - ,Please refer to the Multi-year monitoring period reported emissions data table for more information.,
Savage River Mine,TAS,GRANGE RESOURCES (TASMANIA) PTY LTD,30073634581,n/a,Multi-year monitoring period,"102,828",0,0,0,n/a,"300,556","349,064", - , - ,Please refer to the Multi-year monitoring period reported emissions data table for more information.,
Sewerage West,VIC,Melbourne Water Corporation,81945386953,"168,625",Calculated baseline,"190,649",0,0,"22,024","168,625",n/a,n/a, - , - ,-,
Sino Iron Project – Cape Preston,WA,CITIC Pacific Mining Management Pty Ltd,64119578371,"1,610,964",Production-adjusted baseline,"1,241,468",0,0,0,"1,241,468",n/a,n/a, - , - ,-,
Sojitz Gregory Crinum Mine,QLD,SOJITZ DEVELOPMENT PTY LTD,34063050680,n/a,Multi-year monitoring period,"137,360",0,0,0,n/a,n/a,n/a, - , - ,Please refer to the Multi-year monitoring period reported emissions data table for more information.,
Solomon Mine,WA,FMG SOLOMON PTY LTD,95128959179,"449,709",Calculated baseline,"452,884",0,0,"37,726","415,158",n/a,n/a, - , - ,-,
Solomon Power Station,WA,FMG SOLOMON PTY LTD,95128959179,"345,831",Calculated baseline,"176,950",0,0,0,"176,950",n/a,n/a, - , - ,-,
South Walker Creek,QLD,STANMORE RESOURCES LIMITED,27131920968,n/a,Multi-year monitoring period,"340,550",0,0,0,n/a,n/a,n/a, - , - ,Please refer to the Multi-year monitoring period reported emissions data table for more information.,
South West Queensland Pipeline,QLD; SA,APA (SWQP) PTY LIMITED,67066656219,"176,381",Calculated baseline,"133,057",0,0,0,"133,057",n/a,n/a, - , - ,-,
South West Synthetic Rutile Operations,WA,Iluka Resources Limited,34008675018,"297,935",Production-adjusted baseline,"265,237",0,0,0,"265,237",n/a,n/a, - , - ,-,
Spring Gully,QLD,ORIGIN ENERGY UPSTREAM OPERATOR PTY LTD,67105423532,"402,602",Production-adjusted baseline,"228,381",0,0,0,"228,381",n/a,n/a, - , - ,-,
Start up and Operations of the Ichthys LNG Project,NT,INPEX Operations Australia Pty Ltd,48150217262,"7,067,789",Calculated baseline,"6,739,077",0,0,0,"6,739,077",n/a,n/a, - , - ,-,
Sunrise Dam,WA,AngloGold Ashanti Australia Limited,42008737424,"171,958",Calculated baseline,"180,641",0,0,"8,683","171,958",n/a,n/a, - , - ,-,
TAHMOOR COAL MINE,NSW,TAHMOOR COAL PTY LTD,97076663968,"2,008,287",Calculated baseline,"964,050",0,0,0,"964,050",n/a,n/a, - , - ,-,
Talinga,QLD,ORIGIN ENERGY UPSTREAM OPERATOR PTY LTD,67105423532,"270,790",Production-adjusted baseline,"226,291",0,0,0,"226,291",n/a,n/a, - , - ,-,
Telfer Gold Mine,WA,Newcrest Mining Limited,20005683625,"626,808",Calculated baseline,"498,129",0,0,0,"498,129",n/a,n/a, - , - ,-,
Thunderbox Operations,WA,NORTHERN STAR (THUNDERBOX) PTY LTD,15107154727,"213,075",Calculated baseline,"108,458",0,0,0,"108,458",n/a,n/a, - , - ,-,
Toll National Transport Facility,National,Toll Holdings Limited,25006592089,"72,096",Production-adjusted baseline,"72,034",0,0,0,"72,034",n/a,n/a, - , - ,-,
Tom Price Mine / WTS,WA,Hamersley Iron Pty. Limited,49004558276,"145,307",Production-adjusted baseline,"196,750",0,0,"51,443","145,307",n/a,n/a, - , - ,-,
Tomago Aluminium Smelter,NSW,TOMAGO ALUMINIUM COMPANY PTY LTD,68001862228,"1,241,117",Production-adjusted baseline,"1,156,673",0,0,0,"1,156,673",n/a,n/a, - , - ,-,
Tropicana Gold Mine,WA,AngloGold Ashanti Australia Limited,42008737424,"323,180",Calculated baseline,"304,274",0,0,0,"304,274",n/a,n/a, - , - ,-,
TT-Line - Victorian Operation,VIC,TT-Line Company Pty. Ltd.,39061996174,"161,416",Calculated baseline,"143,882",0,0,0,"143,882",n/a,n/a, - , - ,-,
United Coal Mine,NSW,UNITED COLLIERIES PTY LTD,67001990209,"330,425",Calculated baseline,"170,212",0,0,0,"170,212",n/a,n/a, - , - ,-,
V/Line,VIC,V/Line Corporation,91273289190,"140,686",Calculated baseline,"119,488",0,0,0,"119,488",n/a,n/a, - , - ,-,
Varanus Hub,WA,Santos Limited,80007550923,"463,700",Calculated baseline,"269,532",0,0,0,"269,532",n/a,n/a, - , - ,-,
Victoria,VIC,CSL Australia,70084400886,n/a,Multi-year monitoring period,"41,952",0,0,0,n/a,"151,597","300,274", - , - ,Please refer to the Multi-year monitoring period reported emissions data table for more information.,
Vincent Project Venture,WA,Woodside Energy Ltd.,63005482986,n/a,Multi-year monitoring period,"356,656",0,0,0,n/a,n/a,n/a, - , - ,Please refer to the Multi-year monitoring period reported emissions data table for more information.,
Virgin Australia Holdings National Transport Facility,National,VIRGIN AUSTRALIA HOLDINGS LIMITED,54100686226,"2,397,885",Calculated baseline,"1,284,605",0,0,0,"1,284,605",n/a,n/a, - , - ,-,
Wagerup Alumina Refinery,WA,Alcoa of Australia Limited,93004879298,"1,847,019",Production-adjusted baseline,"1,385,526",0,0,0,"1,385,526",n/a,n/a, - , - ,-,
Wambo Coal Mine,NSW,WAMBO COAL PTY LIMITED,13000668057,n/a,Multi-year monitoring period,"243,923",0,0,0,n/a,n/a,n/a, - , - ,Please refer to the Multi-year monitoring period reported emissions data table for more information.,
Warkworth Mine,NSW,Warkworth Mining Ltd,42001385842,"1,018,733",Calculated baseline,"817,271",0,0,0,"817,271",n/a,n/a, - , - ,-,
West Angelas Mine,WA,Robe River Mining Co. Pty. Ltd.,71008694246,"331,789",Calculated baseline,"265,301",0,0,0,"265,301",n/a,n/a, - , - ,-,
Western Australia,WA,Alliance Aviation Services Limited,96153361525,n/a,Multi-year monitoring period,"104,627",0,0,0,n/a,n/a,n/a, - , - ,Please refer to the Multi-year monitoring period reported emissions data table for more information.,
Western Port Works,VIC,BlueScope Steel Limited,16000011058,"136,024",Production-adjusted baseline,"112,503",0,0,0,"112,503",n/a,n/a, - , - ,-,
Wheatstone Operations,WA,CHEVRON AUSTRALIA PTY LTD,29086197757,"4,343,119",Calculated baseline,"3,907,075",0,0,0,"3,907,075",n/a,n/a, - , - ,-,
Wilpinjong Coal Mine,NSW,WILPINJONG COAL PTY LTD,87104594694,"208,562",Calculated baseline,"154,554",0,0,0,"154,554",n/a,n/a, - , - ,-,
WOR01,WA,South32 Worsley Alumina Pty Ltd,58008905155,"3,718,777",Calculated baseline,"3,553,775",0,0,0,"3,553,775",n/a,n/a, - , - ,-,
YAN01 Yandi/Marillana Creek Mine - MNG Facility,WA,BHP IRON ORE PTY LTD,46008700981,"223,714",Production-adjusted baseline,"149,694",0,0,0,"149,694",n/a,n/a, - , - ,-,
Yandicoogina Mine,WA,Hamersley Iron - Yandi Pty Limited,56009181793,"275,999",Production-adjusted baseline,"162,286",0,0,0,"162,286",n/a,n/a, - , - ,-,
Yarnima Power Station,WA,BHP IRON ORE PTY LTD,46008700981,"428,862",Production-adjusted baseline,"340,554",0,0,0,"340,554",n/a,n/a, - , - ,-,
Yarrabee Coal Mine (Open Cut),QLD,YARRABEE COAL COMPANY PTY. LTD.,30010849402,"190,339",Calculated baseline,"174,739",0,0,0,"174,739",n/a,n/a, - , - ,-,
Yarwun Nitrates,QLD,ORICA AUSTRALIA PTY LTD,99004117828,"321,343",Calculated baseline,"294,244",0,0,0,"294,244",n/a,n/a, - , - ,-,
YPF AMMONIA PLANT,WA,Yara Pilbara Fertilisers Pty Ltd,74095441151,"1,512,283",Calculated baseline,"1,383,385",0,0,0,"1,383,385",n/a,n/a, - , - ,-,
