Facility name,State of operation,Responsible emitter,Responsible emitter ABN/ACN,Baseline number,Type of baseline,Reported covered Emissions,ACCUs issued,ACCUs deemed surrender,ACCUs surrendered,Net emissions number,MYMP net emissions number, MYMP baseline number ,Excess emissions situation start date (if applicable),Excess emissions situation end date (if applicable),Notes,
Duketon South Operations,WA,Regis Resources Limited,28009174761,"186,157",Calculated baseline,"171,680",0,0,0,"171,680",n/a,n/a, - , - ,-,
EGP,NSW; VIC,Jemena Eastern Gas Pipeline (1) Pty Ltd,15068570847,"145,997",Production-adjusted baseline,"108,209",0,0,0,"108,209",n/a,n/a, - , - ,-,
Eliwana Mine,WA,FMG SOLOMON PTY LTD,95128959179,"199,022",Calculated baseline,"156,384",0,0,0,"156,384",n/a,n/a, - , - ,-,
Ensham Resources Minesite,QLD,ENSHAM RESOURCES PTY. LIMITED,23011048678,n/a,Multi-year monitoring period,"307,273",0,0,0,n/a,n/a,n/a, - , - ,Please refer to the Multi-year monitoring period reported emissions data table for more information.,
Fairview,QLD,Santos Limited,80007550923,"549,476",Production-adjusted baseline,"341,841",0,0,0,"341,841",n/a,n/a, - , - ,-,
Fimiston Operations,WA,KALGOORLIE CONSOLIDATED GOLD MINES PTY LTD,97009377619,"242,659",Calculated baseline,"192,325",0,0,0,"192,325",n/a,n/a, - , - ,-,
Fisherman's Landing,QLD,CEMENT AUSTRALIA (QUEENSLAND) PTY LIMITED,70009658520,"1,795,018",Calculated baseline,"1,678,126",0,0,0,"1,678,126",n/a,n/a, - , - ,-,
FLNG,WA,SHELL AUSTRALIA PTY LTD,14009663576,"2,263,910",Calculated baseline,"1,840,672",0,0,0,"1,840,672",n/a,n/a, - , - ,-,
Foxleigh Mine,QLD,FOXLEIGH MANAGEMENT PTY LTD,27089726492,"281,190",Calculated baseline,"218,686",0,0,0,"218,686",n/a,n/a, - , - ,-,
Geelong Refinery,VIC,Viva Energy Refining Pty Ltd,46004303842,"1,094,298",Production-adjusted baseline,"1,076,739",0,0,0,"1,076,739",n/a,n/a, - , - ,-,
GEM01,NT,Groote Eylandt Mining Company Proprietary Limited,26004618491,"195,344",Calculated baseline,"192,995",0,0,0,"192,995",n/a,n/a, - , - ,-,
Gibson Island,QLD,Incitec Pivot Limited,42004080264,"544,910",Production-adjusted baseline,"396,976",0,0,0,"396,976",n/a,n/a, - , - ,-,
Gippsland Basin facility,VIC,ESSO AUSTRALIA RESOURCES PTY LTD,62091829819,"2,740,315",Production-adjusted baseline,"1,746,940",0,0,0,"1,746,940",n/a,n/a, - , - ,-,
Goldfields Gas Transmission Pipeline,WA,Goldfields Gas Transmission Pty Ltd,87004273241,n/a,Multi-year monitoring period,"131,592",0,0,0,n/a,"366,301","396,090", - , - ,Please refer to the Multi-year monitoring period reported emissions data table for more information.,
Goonyella Broadmeadow Mine,QLD,BM Alliance Coal Operations Pty Limited,67096412752,"1,736,739",Production-adjusted baseline,"1,314,139",0,0,0,"1,314,139",n/a,n/a, - , - ,-,
Gorgon Operations,WA,CHEVRON AUSTRALIA PTY LTD,29086197757,"8,336,476",Production-adjusted baseline,"8,318,842",0,0,0,"8,318,842",n/a,n/a, - , - ,-,
Gove Operations,NT,RTA GOVE PTY LIMITED,76000453663,"132,111",Production-adjusted baseline,"118,473","143,940","91,600","38,702","132,111",n/a,n/a, - , - ,The facility's net emissions number for 2021-22 was adjusted to include ACCUs issued in relation to an Emissions Reduction Fund project at the facility.,
Granny Smith Mine Site,WA,GSM MINING COMPANY PTY LTD,42165235030,"126,385",Calculated baseline,"120,157","13,157","6,929",0,"126,385",n/a,n/a, - , - ,The facility's net emissions number for 2021-22 was adjusted to include ACCUs issued in relation to an Emissions Reduction Fund project at the facility.,
Grosvenor Mine,QLD,ANGLO COAL (MORANBAH NORTH MANAGEMENT) PTY LIMITED,14069603587,"3,307,753",Calculated baseline,"775,806",0,0,0,"775,806",n/a,n/a, - , - ,-,
Gruyere Mine Site,WA,Gruyere Mining Company Pty Ltd,11615729005,"243,584",Calculated baseline,"197,497",0,0,0,"197,497",n/a,n/a, - , - ,-,
Hail Creek Mine,QLD,HAIL CREEK COAL PTY LTD,59080002008,"587,896",Calculated baseline,"543,611",0,0,0,"543,611",n/a,n/a, - , - ,-,
Hope Downs 1 Mine,WA,Hamersley HMS Pty Ltd,51115004129,"152,296",Calculated baseline,"165,509",0,0,"13,213","152,296",n/a,n/a, - , - ,-,
Hope Downs 4 Mine,WA,Hamersley HMS Pty Ltd,51115004129,"116,192",Production-adjusted baseline,"117,658",0,0,"1,466","116,192",n/a,n/a, - , - ,-,
Hunter Valley Operations mine,NSW,HV OPERATIONS PTY LTD,76606478399,"633,681",Calculated baseline,"577,874",0,0,0,"577,874",n/a,n/a, - , - ,-,
HVY01 Hunter Valley Energy Coal - CCL Facility,NSW,Hunter Valley Energy Coal Pty Ltd,39062894464,n/a,Multi-year monitoring period,"503,403",0,0,0,n/a,n/a,n/a, - , - ,Please refer to the Multi-year monitoring period reported emissions data table for more information.,
InfraBuild Steel Laverton Steel Mill,VIC,THE AUSTRALIAN STEEL COMPANY (OPERATIONS) PTY LTD,89069426955,"123,412",Production-adjusted baseline,"112,731",0,0,0,"112,731",n/a,n/a, - , - ,-,
Integra Underground Mine,NSW,HV Coking Coal Pty Limited,45605492804,"721,813",Calculated baseline,"277,236",0,0,0,"277,236",n/a,n/a, - , - ,-,
Jellinbah Mine,QLD,JELLINBAH MINING PTY LTD,63052251000,"256,527",Calculated baseline,"241,538",0,0,0,"241,538",n/a,n/a, - , - ,-,
JGN,NSW,Jemena Gas Networks (NSW) Ltd,87003004322,"477,774",Production-adjusted baseline,"400,018",0,0,0,"400,018",n/a,n/a, - , - ,-,
Jimblebar Mine,WA,BHP IRON ORE PTY LTD,46008700981,n/a,Multi-year monitoring period,"305,973",0,0,0,n/a,n/a,n/a, - , - ,Please refer to the Multi-year monitoring period reported emissions data table for more information.,
Jundee Gold Mine,WA,NORTHERN STAR RESOURCES LIMITED,43092832892,"173,116",Calculated baseline,"141,316",0,0,0,"141,316",n/a,n/a, - , - ,-,
Kemerton Silicon Smelter,WA,SIMCOA OPERATIONS PTY. LTD.,42009064653,"100,000",Production-adjusted baseline,"110,437",0,0,"10,437","100,000",n/a,n/a, - , - ,-,
Kestrel Coal Pty Ltd,QLD,Kestrel Coal Group Pty Ltd,70624655518,"1,655,916",Production-adjusted baseline,"1,236,654",0,0,0,"1,236,654",n/a,n/a, - , - ,-,
Koolyanobbing Iron Ore Operations,WA,Yilgarn Iron Pty Ltd,16626035078,"176,116",Calculated baseline,"131,692",0,0,0,"131,692",n/a,n/a, - , - ,-,
Kooragang Island,NSW,ORICA AUSTRALIA PTY LTD,99004117828,"1,291,767",Calculated baseline,"1,092,155",0,0,0,"1,092,155",n/a,n/a, - , - ,-,
Kwinana Alumina Refinery,WA,Alcoa of Australia Limited,93004879298,"1,366,709",Production-adjusted baseline,"1,253,485",0,0,0,"1,253,485",n/a,n/a, - , - ,-,
Kwinana Pigment Plant,WA,Tronox Management Pty Ltd,59009343364,"333,169",Production-adjusted baseline,"314,557",0,0,0,"314,557",n/a,n/a, - , - ,-,
Lake Vermont Mine,QLD,THIESS PTY LTD,87010221486,"394,117",Calculated baseline,"369,934",0,0,0,"369,934",n/a,n/a, - , - ,-,
Leinster Power Station,WA,TEC DESERT PTY LTD,47084695661,"154,495",Calculated baseline,"139,326",0,0,0,"139,326",n/a,n/a, - , - ,-,
Liberty Bell Bay,TAS,Liberty Bell Bay Pty Ltd,23004456035,"398,933",Production-adjusted baseline,"350,535",0,0,0,"350,535",n/a,n/a, - , - ,-,
Liberty Primary Steel Whyalla Steelworks,SA,ONESTEEL MANUFACTURING PTY LIMITED,42004651325,"2,690,509",Calculated baseline,"2,150,574",0,0,0,"2,150,574",n/a,n/a, - , - ,-,
Liddell Coal Mine,NSW,LIDDELL COAL OPERATIONS PTY. LIMITED,40058857882,"176,827",Calculated baseline,"168,363",0,0,0,"168,363",n/a,n/a, - , - ,-,
Mandalong Mine,NSW,CENTENNIAL MANDALONG PTY LIMITED,74101508892,"1,443,304",Calculated baseline,"1,401,895",0,0,0,"1,401,895",n/a,n/a, - , - ,-,
Mangoola,NSW,MANGOOLA COAL OPERATIONS PTY LIMITED,54127535755,"122,507",Calculated baseline,"100,044",0,0,0,"100,044",n/a,n/a, - , - ,-,
Marandoo Mine,WA,Hamersley Iron Pty. Limited,49004558276,"214,614",Calculated baseline,"159,346",0,0,0,"159,346",n/a,n/a, - , - ,-,
