facility_id,year,mechanism,facility_name,responsible_emitter,state,anzsic,baseline,covered_emissions,net_emissions,mymp_baseline,mymp_net_emissions,notes
F0004,2020-21,legacy,APN01 Appin Colliery - ICH Facility,ENDEAVOUR COAL PTY LIMITED,NSW,,3960227.0,1940513.0,1940513.0,,, - 
F0222,2020-21,legacy,WOR01 Worsley Alumina Refinery/Mine,SOUTH32 WORSLEY ALUMINA PTY LTD,WA,,3718777.0,3657800.0,3657800.0,,, - 
F0168,2020-21,legacy,Queensland Alumina Limited Refinery,QUEENSLAND ALUMINA LIMITED,QLD,,3434256.0,3300358.0,3300358.0,,, - 
F0155,2020-21,legacy,Pinjarra Alumina Refinery,ALCOA OF AUSTRALIA LIMITED,WA,,3056433.0,1576697.0,1576697.0,,, - 
F0070,2020-21,legacy,Gippsland Basin facility,ESSO AUSTRALIA RESOURCES PTY LTD,VIC,,2740315.0,1565319.0,1565319.0,,, - 
F0104,2020-21,legacy,Liberty Primary Steel Whyalla Steelworks,ONESTEEL MANUFACTURING PTY LIMITED,SA,,2690509.0,2346007.0,2346007.0,,, - 
F0003,2020-21,legacy,APLNG Facility,CONOCOPHILLIPS AUSTRALIA OPERATIONS PTY LTD,QLD,,2604999.0,2070938.0,2070938.0,,, - 
F0116,2020-21,legacy,Moomba Plant,SANTOS LIMITED,SA,,2501037.0,2371988.0,2371988.0,,, - 
F0210,2020-21,legacy,Virgin Australia Holdings National Transport Facility,VIRGIN AUSTRALIA HOLDINGS LIMITED,National,,2397885.0,845653.0,845653.0,,, - 
F0179,2020-21,legacy,Rio Tinto Yarwun,RTA YARWUN PTY LTD,QLD,,2295467.0,2130417.0,2186619.0,,,The facility's net emissions number for 2020-21 was adjusted to include ACCUs issued in relation to an Emissions Reduction Fund project at the facility.
F0065,2020-21,legacy,FLNG,SHELL AUSTRALIA PTY LTD,WA,,2263910.0,1506548.0,1506548.0,,, - 
F0169,2020-21,legacy,Queensland Curtis LNG Plant,QCLNG OPERATING COMPANY PTY LTD,QLD,,2244528.0,1786718.0,1786718.0,,, - 
F0197,2020-21,legacy,TAHMOOR COAL MINE,TAHMOOR COAL PTY LTD,NSW,,2008287.0,1124934.0,1124934.0,,, - 
F0212,2020-21,legacy,Wagerup Alumina Refinery,ALCOA OF AUSTRALIA LIMITED,WA,,1894645.0,1415989.0,1415989.0,,, - 
F0050,2020-21,legacy,Curtis Island GLNG Plant,SANTOS LIMITED,QLD,,1888177.0,1730328.0,1730328.0,,, - 
F0042,2020-21,legacy,Cockburn Operations,ADBRI LIMITED,WA,,1839526.0,1044918.0,1044918.0,,, - 
F0064,2020-21,legacy,Fisherman's Landing,CEMENT AUSTRALIA (QUEENSLAND) PTY LIMITED,QLD,,1795018.0,1618328.0,1618328.0,,, - 
F0188,2020-21,legacy,Sino Iron Project - Cape Preston,CITIC PACIFIC MINING MANAGEMENT PTY LTD,WA,,1639229.0,1241225.0,1241225.0,,, - 
